Date (yr)	Level  (mm)	 Error (mm)
1929.4583	-104.5	12.1
1929.5417	-104.4	12.1
1929.625	-104.8	12.1
1929.7083	-105.4	12.1
1929.7917	-107.8	12.1
1929.875	-107.6	12.1
1929.9583	-110.5	12.1
1930.0417	-109.2	12
1930.125	-110.7	12
1930.2083	-110.7	12
1930.2917	-112.7	11.9
1930.375	-111.1	11.9
1930.4583	-104.1	11.9
1930.5417	-96.6	11.9
1930.625	-94.5	11.9
1930.7083	-96.9	11.9
1930.7917	-99.9	11.9
1930.875	-104	11.9
1930.9583	-106.2	12.2
1931.0417	-105.3	12.2
1931.125	-107.5	12.2
1931.2083	-105	12.2
1931.2917	-106.9	12.2
1931.375	-104.8	12.2
1931.4583	-104.3	12.2
1931.5417	-100.3	12.2
1931.625	-102.1	12.2
1931.7083	-104.4	12.2
1931.7917	-107.4	12.2
1931.875	-108.3	12.2
1931.9583	-104.9	12.2
1932.0417	-102.5	11.9
1932.125	-99.2	11.9
1932.2083	-100.2	11.9
1932.2917	-98.9	11.9
1932.375	-100.6	11.9
1932.4583	-100.7	11.9
1932.5417	-99.9	11.9
1932.625	-101.3	11.9
1932.7083	-98.7	11.9
1932.7917	-99.1	11.9
1932.875	-96.6	11.8
1932.9583	-95.5	11.9
1933.0417	-92.2	11.8
1933.125	-91.4	11.8
1933.2083	-90.8	11.8
1933.2917	-91	11.8
1933.375	-93.6	11.8
1933.4583	-92.9	11.8
1933.5417	-97.4	11.8
1933.625	-96.1	11.8
1933.7083	-97.4	11.8
1933.7917	-97.1	11.7
1933.875	-100.6	11.7
1933.9583	-100.6	12
1934.0417	-99.9	11.9
1934.125	-97.5	11.8
1934.2083	-95.1	11.8
1934.2917	-96.2	11.8
1934.375	-97.1	11.8
1934.4583	-101.1	11.8
1934.5417	-101.7	11.8
1934.625	-105.7	11.8
1934.7083	-104.2	11.8
1934.7917	-106.9	11.8
1934.875	-101	11.8
1934.9583	-98.9	12
1935.0417	-93.9	12
1935.125	-91.7	12
1935.2083	-91.3	12
1935.2917	-90.1	12
1935.375	-93.4	11.8
1935.4583	-92.7	11.8
1935.5417	-93.7	11.8
1935.625	-94.5	11.8
1935.7083	-96.8	11.8
1935.7917	-99.7	11.8
1935.875	-101.2	11.8
1935.9583	-99.4	11.8
1936.0417	-95.5	11.7
1936.125	-93.1	11.7
1936.2083	-97.6	11.7
1936.2917	-100.9	11.7
1936.375	-102.8	11.8
1936.4583	-100.3	11.8
1936.5417	-101.3	11.8
1936.625	-99.3	11.8
1936.7083	-102	11.8
1936.7917	-97.7	11.8
1936.875	-99	11.8
1936.9583	-96	11.9
1937.0417	-97.3	11.8
1937.125	-92.3	11.8
1937.2083	-93.9	11.8
1937.2917	-91.9	11.8
1937.375	-93.3	11.9
1937.4583	-95.3	11.8
1937.5417	-95	11.8
1937.625	-95.8	11.8
1937.7083	-92.3	11.8
1937.7917	-91.8	11.8
1937.875	-89.9	11.8
1937.9583	-88.3	11.8
1938.0417	-86.1	11.7
1938.125	-84.8	11.7
